15:19 01/12/2021,15:02 01/12/2021,SD6,8.8,9.6,8.0,8.8,8.5,2615,8.7
15:19 01/12/2021,15:02 01/12/2021,CEO,40.5,44.5,36.5,42.0,36.5,66015,38.4
15:19 01/12/2021,15:02 01/12/2021,HOM,10.5,11.5,9.5,10.5,10.3,2823,10.3
15:19 01/12/2021,15:02 01/12/2021,CTC,7.8,8.5,7.1,7.9,7.7,2122,7.8
15:19 01/12/2021,14:45 01/12/2021,CMS,30.0,33.0,27.0,30.0,27.0,14087,29.2
15:19 01/12/2021,15:02 01/12/2021,DL1,12.2,13.4,11.0,13.4,12.2,35087,13.4
15:19 01/12/2021,15:02 01/12/2021,NAG,13.4,14.7,12.1,14.5,13.2,1422,13.3
15:19 01/12/2021,15:02 01/12/2021,DTD,47.0,51.7,42.3,47.2,46.0,1383,46.9
15:19 01/12/2021,15:02 01/12/2021,KLF,5.9,6.4,5.4,6.4,5.9,133230,6.4
15:19 01/12/2021,15:02 01/12/2021,VC2,53.2,58.5,47.9,53.9,52.8,1256,53.5
15:19 01/12/2021,15:02 01/12/2021,NSH,15.0,16.5,13.5,15.2,14.6,1527,14.7
15:19 01/12/2021,14:45 01/12/2021,DDG,30.2,33.2,27.2,30.5,29.5,1150,30.3
15:19 01/12/2021,15:02 01/12/2021,DXP,24.2,26.6,21.8,24.4,23.5,2800,23.6
15:19 01/12/2021,15:02 01/12/2021,IDJ,57.5,63.2,51.8,60.0,54.0,8119,58.0
15:19 01/12/2021,15:02 01/12/2021,IDC,78.0,85.8,70.2,78.3,75.0,9250,75.0
15:19 01/12/2021,15:02 01/12/2021,NDN,22.9,25.1,20.7,22.9,22.2,15380,22.5
15:19 01/12/2021,15:02 01/12/2021,NVB,29.9,32.8,27.0,29.6,29.2,1645,29.5
15:19 01/12/2021,15:02 01/12/2021,ART,15.0,16.5,13.5,16.1,14.8,56814,15.8
15:19 01/12/2021,15:02 01/12/2021,KVC,7.7,8.4,7.0,8.4,7.8,28485,8.4
15:19 01/12/2021,15:02 01/12/2021,SDA,67.5,74.2,60.8,67.5,60.8,1538,60.8
15:19 01/12/2021,15:02 01/12/2021,MCO,9.1,10.0,8.2,10.0,9.1,734,10.0
15:19 01/12/2021,15:02 01/12/2021,VTV,9.9,10.8,9.0,10.4,9.8,3635,10.0
15:19 01/12/2021,15:02 01/12/2021,SVN,7.5,8.2,6.8,7.7,7.0,1553,7.4
