14:29 24/11/2021,HDG,64.3,68.8,59.8,68.8,64.8,3296.1,68.8
14:30 24/11/2021,BCG,27.45,29.35,25.55,29,27.75,3234.7,27.9
14:29 24/11/2021,DAG,16.4,17.5,15.3,17.5,16.4,3133.8,17.5
14:30 24/11/2021,JVC,8.5,9.09,7.91,8.9,8.49,3110.6,8.59
14:30 24/11/2021,TTB,10.2,10.9,9.49,10.5,9.9,3077.5,10.2
14:30 24/11/2021,AGR,25.65,27.4,23.9,27,26.1,2963.4,26.3
14:30 24/11/2021,EIB,27.5,29.4,25.6,29.4,27.45,2921.7,29.4
14:30 24/11/2021,DRH,20.5,21.9,19.1,21.2,19.1,2907.7,19.2
14:30 24/11/2021,NVL,106.2,113.6,98.8,108,105.8,2899.8,106.3
14:30 24/11/2021,PVT,24.35,26.05,22.65,24.6,23.75,2807.7,23.95
14:30 24/11/2021,GVR,37.5,40.1,34.9,37.95,37,2735.7,37.05
14:30 24/11/2021,APG,26.35,28.15,24.55,27.5,26.9,2612.2,27.15
14:29 24/11/2021,SJF,19.75,21.1,18.4,21.1,20.5,2561,21.1
14:29 24/11/2021,KDC,59.9,64,55.8,60,59.4,2525.7,59.7
14:30 24/11/2021,HT1,25,26.75,23.25,25.9,25,2434.4,25.05
14:30 24/11/2021,FPT,96.6,103.3,89.9,98.4,96.4,2323.9,97.5
14:30 24/11/2021,QCG,11.2,11.95,10.45,11.75,10.65,2299.5,10.75
14:30 24/11/2021,GMD,51,54.5,47.45,51.4,50.6,2295.6,51.1
14:30 24/11/2021,TVB,29.5,31.55,27.45,30.7,29.5,2241.4,29.6
14:30 24/11/2021,QBS,6.27,6.7,5.84,6.44,5.9,2219.6,6.2
14:29 24/11/2021,PLX,57,60.9,53.1,58.3,56.6,2200.5,57.1
14:30 24/11/2021,VCG,46.3,49.5,43.1,46.8,45.7,2175.8,45.8
14:30 24/11/2021,PET,30.7,32.8,28.6,31.4,29.9,2140.4,30
14:30 24/11/2021,CKG,34.75,37.15,32.35,35.4,34.2,2029.8,34.45
14:30 24/11/2021,DRC,34.4,36.8,32,34.95,33.9,1992.8,33.9
14:30 24/11/2021,VNM,86.3,92.3,80.3,87.4,86.5,1940.7,87.3
14:30 24/11/2021,CTS,44.5,47.6,41.4,45.45,44,1938.3,44.95
14:29 24/11/2021,VIC,94.8,101.4,88.2,95.2,93.5,1914.2,94.6
14:30 24/11/2021,LSS,17.8,19,16.6,18.15,17.2,1888.7,17.7
14:29 24/11/2021,HAR,10.15,10.85,9.44,10.25,9.78,1874.5,9.9
14:30 24/11/2021,TLH,20.2,21.6,18.8,20.3,19.5,1856.4,19.8
14:25 24/11/2021,IDI,19.9,21.25,18.55,21.25,21.25,1854.5,21.25
14:30 24/11/2021,VCB,99.1,106,92.2,105.6,99.2,1831.7,105.2
14:30 24/11/2021,OGC,8.55,9.14,7.96,8.79,8.25,1805.7,8.3
14:29 24/11/2021,STB,28.5,30.45,26.55,30.45,28.35,67021,30.45
14:30 24/11/2021,TCB,52.6,56.2,48.95,55.7,52.3,51141,55.6
14:30 24/11/2021,LPB,23.05,24.65,21.45,24.45,22.9,43755.6,24.45
14:30 24/11/2021,MBB,28.9,30.9,26.9,30.9,28.75,42256.2,30.9
14:30 24/11/2021,VPB,36.25,38.75,33.75,37.6,35.9,34771,37.25
14:30 24/11/2021,HPG,49.55,53,46.1,49.7,48.5,26102.2,48.75
14:30 24/11/2021,SHB,23.8,25.45,22.15,25,23.75,25520,25
14:30 24/11/2021,CTG,34.1,36.45,31.75,35.4,34.05,24795.2,35.35
14:30 24/11/2021,SSI,52,55.6,48.4,54.4,52.7,22841.7,53.3
14:30 24/11/2021,FLC,14.7,15.7,13.7,15.4,14.7,22059.2,14.85
14:30 24/11/2021,MSB,26.45,28.3,24.6,28.2,26.25,17909.4,28.15
14:30 24/11/2021,ITA,11.2,11.95,10.45,11.6,10.9,17783.7,11.05
14:29 24/11/2021,OCB,28,29.95,26.05,29.95,28,17778.3,29.95
14:30 24/11/2021,HAG,7.15,7.65,6.65,7.59,7,17227,7.09
